year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,08:07,-3.0,1043.0,0.0,DL,N308DE,269,JFK,ATL,01:26,760,8.0,7.0
2013,1,1,08:09,-6.0,1043.0,-7.0,EV,N14542,4388,EWR,JAX,01:32,820,8.0,9.0
2013,1,1,08:10,-5.0,1100.0,-28.0,DL,N349NW,2395,LGA,PBI,01:49,1035,8.0,10.0
2013,1,1,08:11,-4.0,1006.0,-26.0,EV,N11193,4260,EWR,CHS,01:01,628,8.0,11.0
2013,1,1,08:11,101.0,1047.0,137.0,MQ,N531MQ,4576,LGA,CLT,01:18,544,8.0,11.0
2013,1,1,08:14,4.0,1047.0,17.0,FL,N977AT,346,LGA,ATL,01:32,762,8.0,14.0
2013,1,1,08:20,-10.0,940.0,-14.0,DL,N324US,27,JFK,BOS,00:36,187,8.0,20.0
2013,1,1,08:21,1.0,1153.0,24.0,B6,N521JB,181,JFK,SAN,03:54,2446,8.0,21.0
2013,1,1,08:21,-4.0,932.0,-13.0,MQ,N846MQ,4418,JFK,DCA,00:52,213,8.0,21.0
2013,1,1,08:23,0.0,1151.0,16.0,UA,N39728,1223,EWR,DFW,02:50,1372,8.0,23.0
2013,1,1,08:25,-2.0,1058.0,-7.0,B6,N292JB,611,JFK,JAX,01:30,828,8.0,25.0
2013,1,1,08:26,9.0,1145.0,-13.0,UA,N76522,1480,EWR,SFO,03:57,2565,8.0,26.0
2013,1,1,08:28,5.0,1150.0,7.0,UA,N76528,1506,EWR,LAX,03:59,2454,8.0,28.0
2013,1,1,08:29,-1.0,1117.0,-23.0,UA,N75425,1592,EWR,MCO,01:45,937,8.0,29.0
2013,1,1,08:30,0.0,1018.0,3.0,AA,N4YCAA,313,LGA,ORD,01:37,733,8.0,30.0
2013,1,1,08:30,-5.0,1052.0,-13.0,MQ,N513MQ,4610,LGA,ATL,01:23,762,8.0,30.0
2013,1,1,08:33,-2.0,1134.0,32.0,F9,N203FR,835,LGA,DEN,02:57,1620,8.0,33.0
2013,1,1,08:35,0.0,1210.0,20.0,AA,N3BDAA,717,LGA,DFW,02:49,1389,8.0,35.0
2013,1,1,08:40,-5.0,1053.0,-9.0,DL,N926DL,2304,JFK,DTW,01:08,509,8.0,40.0
2013,1,1,08:46,1.0,1138.0,-27.0,B6,N564JB,553,EWR,RSW,01:57,1068,8.0,46.0
2013,1,1,08:48,853.0,1001.0,851.0,MQ,N942MQ,3944,JFK,BWI,00:41,184,8.0,48.0
2013,1,1,08:51,-8.0,1102.0,-3.0,DL,N361NB,869,EWR,DTW,01:06,488,8.0,51.0
2013,1,1,08:52,-3.0,1046.0,26.0,WN,N777QC,3848,EWR,MDW,01:46,711,8.0,52.0
2013,1,1,08:53,8.0,1147.0,2.0,B6,N184JB,59,JFK,TPA,01:59,1005,8.0,53.0
2013,1,1,08:55,-4.0,1143.0,-2.0,DL,N646DL,1747,LGA,ATL,01:29,762,8.0,55.0
2013,1,1,08:56,-4.0,1226.0,6.0,AA,N324AA,1,JFK,LAX,03:58,2475,8.0,56.0
2013,1,1,08:56,-4.0,1222.0,-10.0,DL,N970DL,2143,LGA,MIA,01:58,1096,8.0,56.0
2013,1,1,08:56,1.0,1140.0,-23.0,UA,N75426,1296,EWR,PBI,01:50,1023,8.0,56.0
2013,1,1,08:57,-3.0,1516.0,-14.0,HA,N380HA,51,JFK,HNL,06:59,4983,8.0,57.0
2013,1,1,08:57,-8.0,1107.0,-13.0,DL,N321NB,181,LGA,DTW,01:10,502,8.0,57.0
2013,1,1,08:57,-3.0,1124.0,-9.0,DL,N371NB,485,EWR,ATL,01:25,746,8.0,57.0
2013,1,1,08:57,6.0,1157.0,-25.0,UA,N45440,1670,EWR,SEA,03:43,2402,8.0,57.0
2013,1,1,08:58,-2.0,1102.0,-8.0,MQ,N737MQ,4478,LGA,DTW,01:03,502,8.0,58.0
2013,1,1,08:59,-1.0,1140.0,-24.0,DL,N360NB,1885,LGA,MCO,01:40,950,8.0,59.0
2013,1,1,08:59,-1.0,1223.0,-2.0,VX,N846VA,407,JFK,LAX,03:59,2475,8.0,59.0
2013,1,1,09:02,-1.0,1048.0,3.0,UA,N820UA,580,EWR,ORD,01:45,719,9.0,2.0
2013,1,1,09:03,43.0,1045.0,50.0,MQ,N532MQ,4655,LGA,BNA,01:42,764,9.0,3.0
2013,1,1,09:04,-2.0,1207.0,-19.0,UA,N77525,1401,EWR,MIA,01:58,1085,9.0,4.0
2013,1,1,09:06,23.0,1134.0,9.0,UA,N17139,1643,EWR,DEN,02:46,1605,9.0,6.0
2013,1,1,09:08,-2.0,1020.0,-7.0,B6,N203JB,56,JFK,BTV,00:52,266,9.0,8.0
2013,1,1,09:08,-7.0,1004.0,-29.0,US,N959UW,1467,LGA,PHL,00:32,96,9.0,8.0
2013,1,1,09:08,0.0,1228.0,9.0,UA,N12216,1220,EWR,IAH,02:33,1400,9.0,8.0
2013,1,1,09:12,6.0,1219.0,-7.0,UA,N38403,1601,EWR,MIA,01:59,1085,9.0,12.0
2013,1,1,09:14,-6.0,1244.0,4.0,AA,N517AA,1589,EWR,DFW,02:38,1372,9.0,14.0
2013,1,1,09:17,-3.0,1313.0,28.0,AA,N596AA,721,LGA,DFW,02:58,1389,9.0,17.0
2013,1,1,09:17,2.0,1206.0,-5.0,B6,N568JB,41,JFK,MCO,01:45,944,9.0,17.0
2013,1,1,09:20,15.0,1039.0,14.0,B6,N346JB,1305,JFK,IAD,00:52,228,9.0,20.0
2013,1,1,09:21,21.0,1237.0,10.0,DL,N713TW,120,JFK,LAX,03:33,2475,9.0,21.0
2013,1,1,09:23,4.0,1026.0,-4.0,B6,N580JB,1004,JFK,BOS,00:38,187,9.0,23.0
2013,1,1,09:26,4.0,1221.0,2.0,B6,N534JB,57,JFK,PBI,01:51,1028,9.0,26.0
2013,1,1,09:29,0.0,1028.0,-14.0,EV,N11551,4636,EWR,DCA,00:43,199,9.0,29.0
2013,1,1,09:30,25.0,1218.0,9.0,UA,N57439,1148,EWR,TPA,01:49,997,9.0,30.0
2013,1,1,09:31,1.0,1121.0,13.0,UA,N479UA,255,LGA,ORD,01:54,733,9.0,31.0
2013,1,1,09:32,2.0,1219.0,-6.0,VX,N641VA,251,JFK,LAS,03:24,2248,9.0,32.0
2013,1,1,09:33,-2.0,1120.0,15.0,WN,N487WN,3895,LGA,MDW,01:45,725,9.0,33.0
2013,1,1,09:36,-4.0,1235.0,-16.0,DL,N975DL,2137,LGA,TPA,01:59,1010,9.0,36.0
2013,1,1,09:37,-3.0,1238.0,3.0,B6,N615JB,361,LGA,PBI,01:54,1035,9.0,37.0
2013,1,1,09:37,-3.0,1127.0,7.0,WN,N729SW,1807,LGA,MKE,01:43,738,9.0,37.0
2013,1,1,09:40,-5.0,1119.0,-11.0,AA,N4WJAA,319,LGA,ORD,01:33,733,9.0,40.0
2013,1,1,09:40,-15.0,1226.0,6.0,MQ,N525MQ,4654,LGA,ATL,01:29,762,9.0,40.0
2013,1,1,09:41,-4.0,1300.0,2.0,B6,N806JB,679,JFK,LAX,03:52,2475,9.0,41.0
2013,1,1,09:46,-13.0,1146.0,-16.0,EV,N15912,4175,EWR,AVL,01:05,583,9.0,46.0
2013,1,1,09:47,-6.0,1053.0,-17.0,B6,N306JB,600,JFK,PWM,00:47,273,9.0,47.0
2013,1,1,09:53,-6.0,1141.0,12.0,MQ,N6EAMQ,4670,LGA,BNA,01:44,764,9.0,53.0
2013,1,1,09:53,32.0,1320.0,39.0,UA,N586UA,222,EWR,LAX,03:46,2454,9.0,53.0
2013,1,1,09:55,-5.0,1336.0,11.0,US,N642AW,75,EWR,PHX,03:24,2133,9.0,55.0
2013,1,1,09:56,-4.0,1241.0,0.0,DL,N956DL,1847,LGA,ATL,01:29,762,9.0,56.0
2013,1,1,09:57,144.0,1056.0,123.0,UA,N534UA,856,EWR,BOS,00:37,200,9.0,57.0
2013,1,1,09:59,-3.0,1313.0,-6.0,DL,N965DL,2379,LGA,FLL,01:51,1076,9.0,59.0
2013,1,1,10:03,-7.0,1255.0,-25.0,B6,N565JB,503,EWR,FLL,01:52,1065,10.0,3.0
2013,1,1,10:03,4.0,1408.0,39.0,US,N541UW,196,JFK,PHX,03:42,2153,10.0,3.0
2013,1,1,10:05,5.0,1239.0,5.0,UA,N81449,1625,EWR,DEN,02:54,1605,10.0,5.0
2013,1,1,10:07,-3.0,1147.0,7.0,MQ,N503MQ,3795,EWR,ORD,01:31,719,10.0,7.0
2013,1,1,10:11,10.0,1133.0,5.0,EV,N820AS,5736,LGA,IAD,00:59,229,10.0,11.0
2013,1,1,10:11,-4.0,1246.0,-21.0,DL,N399DA,1529,JFK,LAS,03:20,2248,10.0,11.0
2013,1,1,10:21,-2.0,1254.0,2.0,FL,N942AT,347,LGA,ATL,01:29,762,10.0,21.0
2013,1,1,10:24,-5.0,1140.0,-10.0,EV,N14905,4709,EWR,BUF,00:59,282,10.0,24.0
2013,1,1,10:25,5.0,1356.0,26.0,AA,N3FXAA,731,LGA,DFW,02:47,1389,10.0,25.0
2013,1,1,10:25,34.0,1258.0,-4.0,UA,N437UA,501,EWR,MCO,01:37,937,10.0,25.0
2013,1,1,10:26,-4.0,1351.0,11.0,AA,N328AA,19,JFK,LAX,03:56,2475,10.0,26.0
2013,1,1,10:28,2.0,1350.0,11.0,UA,N76508,1004,LGA,IAH,02:37,1416,10.0,28.0
2013,1,1,10:30,-5.0,1229.0,-17.0,EV,N11189,4277,EWR,CHS,01:00,628,10.0,30.0
2013,1,1,10:31,1.0,1323.0,-11.0,UA,N77258,1294,EWR,FLL,01:57,1065,10.0,31.0
2013,1,1,10:32,-3.0,1305.0,15.0,EV,N13955,4180,EWR,IND,01:35,645,10.0,32.0
2013,1,1,10:33,16.0,1130.0,-6.0,UA,N849UA,779,EWR,BOS,00:42,200,10.0,33.0
2013,1,1,10:37,7.0,1221.0,11.0,AA,N581AA,321,LGA,ORD,01:33,733,10.0,37.0
2013,1,1,10:38,8.0,1223.0,21.0,UA,N423UA,985,EWR,ORD,01:49,719,10.0,38.0
2013,1,1,10:42,2.0,1325.0,-1.0,B6,N529JB,31,JFK,MCO,01:42,944,10.0,42.0
2013,1,1,10:44,-1.0,1231.0,19.0,EV,N15555,4322,EWR,MKE,01:51,725,10.0,44.0
2013,1,1,10:44,-1.0,1352.0,1.0,UA,N667UA,455,EWR,IAH,02:29,1400,10.0,44.0
2013,1,1,10:44,3.0,1339.0,-11.0,UA,N76503,1060,EWR,RSW,01:57,1068,10.0,44.0
2013,1,1,10:47,-8.0,1359.0,-6.0,AA,N3AVAA,739,LGA,DFW,02:30,1389,10.0,47.0
2013,1,1,10:48,-2.0,1302.0,12.0,MQ,N537MQ,4589,LGA,DTW,01:12,502,10.0,48.0
2013,1,1,10:54,-5.0,1326.0,-13.0,DL,N920DE,1647,LGA,ATL,01:29,762,10.0,54.0
2013,1,1,10:56,-3.0,1203.0,-6.0,EV,N11544,4479,EWR,PWM,00:51,284,10.0,56.0
2013,1,1,10:56,-4.0,1407.0,-6.0,DL,N917DL,2185,LGA,TPA,01:58,1010,10.0,56.0
2013,1,1,10:58,-2.0,1210.0,-6.0,US,N951UW,2171,LGA,DCA,00:50,214,10.0,58.0
2013,1,1,10:59,-1.0,1201.0,-14.0,WN,N505SW,321,LGA,BWI,00:43,185,10.0,59.0
2013,1,1,10:59,-1.0,1210.0,-5.0,MQ,N509MQ,3792,JFK,DCA,00:50,213,10.0,59.0
2013,1,1,10:59,6.0,1342.0,-9.0,UA,N451UA,369,EWR,LAS,03:25,2227,10.0,59.0
2013,1,1,11:01,18.0,1345.0,13.0,B6,N630JB,545,EWR,PBI,01:45,1023,11.0,1.0
2013,1,1,11:03,3.0,1410.0,-11.0,DL,N339NW,2071,LGA,MIA,01:55,1096,11.0,3.0
2013,1,1,11:05,18.0,1428.0,23.0,UA,N521UA,688,EWR,SFO,03:56,2565,11.0,5.0
2013,1,1,11:09,-6.0,1402.0,-23.0,AA,N3GSAA,2099,LGA,MIA,01:57,1096,11.0,9.0
2013,1,1,11:11,-4.0,1222.0,-4.0,B6,N279JB,24,JFK,BTV,00:52,266,11.0,11.0
2013,1,1,11:13,-2.0,1318.0,3.0,DL,N320NB,1031,LGA,DTW,01:04,502,11.0,13.0
2013,1,1,11:14,134.0,1447.0,145.0,UA,N76502,1086,LGA,IAH,02:48,1416,11.0,14.0
2013,1,1,11:20,96.0,1331.0,78.0,EV,N16561,4495,EWR,SAV,01:17,708,11.0,20.0
2013,1,1,11:23,13.0,1410.0,34.0,UA,N587UA,405,LGA,DEN,02:56,1620,11.0,23.0
2013,1,1,11:24,24.0,1435.0,4.0,B6,N590JB,641,JFK,SFO,03:49,2586,11.0,24.0
2013,1,1,11:27,-3.0,1504.0,16.0,UA,N518UA,703,JFK,LAX,03:57,2475,11.0,27.0
2013,1,1,11:27,-2.0,1421.0,-4.0,UA,N14118,1143,EWR,PBI,01:56,1023,11.0,27.0
2013,1,1,11:28,-1.0,1422.0,-15.0,UA,N496UA,987,EWR,TPA,01:56,997,11.0,28.0
2013,1,1,11:30,5.0,1301.0,-4.0,AA,N3DEAA,327,LGA,ORD,01:27,733,11.0,30.0
2013,1,1,11:33,3.0,1448.0,-2.0,VX,N839VA,409,JFK,LAX,03:47,2475,11.0,33.0
2013,1,1,11:35,-5.0,1429.0,-16.0,AA,N3EYAA,1623,EWR,MIA,01:56,1085,11.0,35.0
2013,1,1,11:37,-3.0,1445.0,-6.0,DL,N999DN,2175,LGA,PBI,01:53,1035,11.0,37.0
2013,1,1,11:44,-1.0,1422.0,11.0,EV,N695CA,4876,EWR,ATL,01:26,746,11.0,44.0
2013,1,1,11:50,-6.0,1302.0,-12.0,EV,N21144,4693,EWR,SYR,00:46,195,11.0,50.0
2013,1,1,11:53,-7.0,1450.0,-39.0,DL,N712TW,863,JFK,LAX,03:30,2475,11.0,53.0
2013,1,1,11:54,-6.0,1253.0,-13.0,B6,N206JB,1174,EWR,BOS,00:40,200,11.0,54.0
2013,1,1,11:54,-6.0,1452.0,22.0,MQ,N8EGMQ,4658,LGA,ATL,01:41,762,11.0,54.0
2013,1,1,11:55,-5.0,1517.0,7.0,AA,N322AA,3,JFK,LAX,03:53,2475,11.0,55.0
2013,1,1,11:55,-5.0,1441.0,1.0,DL,N904DL,1947,LGA,ATL,01:33,762,11.0,55.0
2013,1,1,11:55,-5.0,1312.0,-3.0,MQ,N846MQ,4425,JFK,DCA,00:57,213,11.0,55.0
2013,1,1,11:57,-1.0,1310.0,-5.0,EV,N16546,4511,EWR,ROC,00:50,246,11.0,57.0
2013,1,1,11:57,-3.0,1452.0,-4.0,UA,N13113,1197,EWR,MCO,01:51,937,11.0,57.0
2013,1,1,11:58,-7.0,1530.0,10.0,AA,N426AA,743,LGA,DFW,02:48,1389,11.0,58.0
2013,1,1,11:58,-2.0,1256.0,-4.0,WN,N783SW,1568,EWR,BWI,00:38,169,11.0,58.0
2013,1,1,11:58,-2.0,1338.0,7.0,UA,N588UA,701,LGA,ORD,01:42,733,11.0,58.0
2013,1,1,12:00,0.0,1408.0,12.0,US,N755US,1443,JFK,CLT,01:02,541,12.0,0.0
2013,1,1,12:02,-5.0,1318.0,4.0,EV,N11536,4347,EWR,BTV,00:51,266,12.0,2.0
2013,1,1,12:03,-2.0,1501.0,24.0,EV,N13978,3850,EWR,ATL,01:42,746,12.0,3.0
2013,1,1,12:03,3.0,1519.0,-26.0,VX,N843VA,25,JFK,SFO,03:53,2586,12.0,3.0
2013,1,1,12:04,4.0,1500.0,12.0,B6,N612JB,523,EWR,MCO,01:39,937,12.0,4.0
2013,1,1,12:05,5.0,1503.0,-2.0,UA,N39418,1461,EWR,IAH,02:21,1400,12.0,5.0
2013,1,1,12:06,-3.0,1325.0,-3.0,EV,N14168,4216,EWR,BUF,00:59,282,12.0,6.0
2013,1,1,12:08,10.0,1540.0,38.0,B6,N239JB,625,JFK,HOU,02:53,1428,12.0,8.0
2013,1,1,12:11,-4.0,1423.0,10.0,EV,N21537,4135,EWR,CLT,01:02,529,12.0,11.0
2013,1,1,12:17,-3.0,1414.0,24.0,MQ,N517MQ,3697,EWR,ORD,01:43,719,12.0,17.0
2013,1,1,12:17,-1.0,1525.0,-4.0,UA,N573UA,391,EWR,SFO,03:45,2565,12.0,17.0
2013,1,1,12:20,0.0,1403.0,23.0,WN,N254WN,133,EWR,MDW,01:42,711,12.0,20.0
2013,1,1,12:22,23.0,1512.0,43.0,EV,N14916,4679,EWR,JAX,01:31,820,12.0,22.0
2013,1,1,12:28,4.0,1631.0,27.0,UA,N38459,1114,EWR,PHX,03:39,2133,12.0,28.0
2013,1,1,12:30,-5.0,1440.0,2.0,EV,N741EV,5311,EWR,DTW,01:08,488,12.0,30.0
2013,1,1,12:31,-7.0,1449.0,3.0,DL,N920DL,1131,LGA,DTW,01:08,502,12.0,31.0
2013,1,1,12:31,2.0,1523.0,-6.0,UA,N402UA,428,EWR,FLL,01:56,1065,12.0,31.0
2013,1,1,12:37,-8.0,1340.0,-10.0,AA,N3EGAA,1850,JFK,BOS,00:40,187,12.0,37.0
2013,1,1,12:38,-2.0,1410.0,5.0,WN,N297WN,564,LGA,MKE,01:37,738,12.0,38.0
2013,1,1,12:40,11.0,1451.0,23.0,EV,N14543,4118,EWR,DTW,01:14,488,12.0,40.0
2013,1,1,12:40,-5.0,1554.0,-6.0,AA,N3BUAA,2253,LGA,MIA,01:56,1096,12.0,40.0
2013,1,1,12:41,-6.0,1342.0,-13.0,EV,N36915,4129,EWR,DCA,00:45,199,12.0,41.0
2013,1,1,12:48,-2.0,1607.0,0.0,UA,N26210,1280,LGA,IAH,02:38,1416,12.0,48.0
2013,1,1,12:52,7.0,1624.0,34.0,AA,N3FTAA,745,LGA,DFW,02:43,1389,12.0,52.0
2013,1,1,12:53,41.0,1524.0,48.0,UA,N576UA,754,EWR,DEN,02:52,1605,12.0,53.0
2013,1,1,12:55,-5.0,1541.0,4.0,DL,N644DL,781,LGA,ATL,01:32,762,12.0,55.0
2013,1,1,12:55,55.0,1451.0,81.0,MQ,N518MQ,4601,LGA,BNA,01:39,764,12.0,55.0
2013,1,1,12:55,-4.0,1501.0,-1.0,US,N540UW,1459,LGA,CLT,01:00,544,12.0,55.0
2013,1,1,12:55,-5.0,1401.0,-8.0,US,N957UW,2128,LGA,BOS,00:38,184,12.0,55.0
2013,1,1,12:57,-1.0,1601.0,-9.0,B6,N793JB,209,JFK,LGB,03:46,2465,12.0,57.0
2013,1,1,12:58,-10.0,1532.0,-5.0,FL,N717JL,348,LGA,ATL,01:28,762,12.0,58.0
2013,1,1,12:58,-2.0,1459.0,19.0,AA,N511AA,329,LGA,ORD,01:47,733,12.0,58.0
